BacDive_ID,Name,Oxygen,Gram,Tolerance
,Canibacter oris,microaerophile,NI,Aerobes
,Capnocytophaga canimorsus,microaerophile,NI,Aerobes
,Capnocytophaga cynodegmi,microaerophile,NI,Aerobes
,Capnocytophaga genospecies AHN8471,microaerophile,NI,Aerobes
,Cardiobacterium hominis,microaerophile,NI,Aerobes
,Carnobacterium inhibens subsp. gilichinskyi,microaerophile,NI,Aerobes
,Carnobacterium inhibens subsp. inhibens,microaerophile,NI,Aerobes
,Cellulomonas humilata,microaerophile,NI,Aerobes
,Coenonia anatina,microaerophile,NI,Aerobes
,Convivina intestini,microaerophile,NI,Aerobes
,Cricetibacter osteomyelitidis,microaerophile,NI,Aerobes
,Cuneibacter caecimuris,microaerophile,NI,Aerobes
,Enterococcus asini,microaerophile,NI,Aerobes
,Enterococcus avium,microaerophile,NI,Aerobes
,Enterococcus casseliflavus,microaerophile,NI,Aerobes
,Enterococcus cecorum,microaerophile,NI,Aerobes
,Enterococcus columbae,microaerophile,NI,Aerobes
,Enterococcus dispar,microaerophile,NI,Aerobes
,Enterococcus durans,microaerophile,NI,Aerobes
,Enterococcus faecalis,microaerophile,NI,Aerobes
,Enterococcus gallinarum,microaerophile,NI,Aerobes
,Enterococcus gilvus,microaerophile,NI,Aerobes
,Enterococcus haemoperoxidus,microaerophile,NI,Aerobes
,Enterococcus moraviensis,microaerophile,NI,Aerobes
,Enterococcus mundtii,microaerophile,NI,Aerobes
,Enterococcus olivae,microaerophile,NI,Aerobes
,Enterococcus pallens,microaerophile,NI,Aerobes
,Enterococcus phoeniculicola,microaerophile,NI,Aerobes
,Enterococcus pseudoavium,microaerophile,NI,Aerobes
,Enterococcus quebecensis,microaerophile,NI,Aerobes
,Enterococcus raffinosus,microaerophile,NI,Aerobes
,Enterococcus ratti,microaerophile,NI,Aerobes
,Enterococcus saccharolyticus subsp. saccharolyticus,microaerophile,NI,Aerobes
,Enterococcus sulfureus,microaerophile,NI,Aerobes
,Enterococcus ureasiticus,microaerophile,NI,Aerobes
,Enterococcus viikkiensis,microaerophile,NI,Aerobes
,Ferriphaselus amnicola,microaerophile,NI,Aerobes
,Fluoribacter bozemanae,microaerophile,NI,Aerobes
,Fluoribacter dumoffii,microaerophile,NI,Aerobes
,Fluoribacter gormanii,microaerophile,NI,Aerobes
,Gemmatimonas phototrophica,microaerophile,NI,Aerobes
,Haemophilus aegyptius,microaerophile,NI,Aerobes
,Haemophilus felis,microaerophile,NI,Aerobes
,Haemophilus parahaemolyticus,microaerophile,NI,Aerobes
,Haemophilus paraphrohaemolyticus,microaerophile,NI,Aerobes
,Haemophilus parasuis,microaerophile,NI,Aerobes
,Haemophilus pittmaniae,microaerophile,NI,Aerobes
,Helicobacter fennelliae,microaerophile,NI,Aerobes
,Helicobacter himalayensis,microaerophile,NI,Aerobes
,Helicobacter muridarum,microaerophile,NI,Aerobes
,Helicobacter pametensis,microaerophile,NI,Aerobes
,Histophilus somni,microaerophile,NI,Aerobes
,Kingella oralis,microaerophile,NI,Aerobes
,Lactobacillus acidipiscis,microaerophile,NI,Aerobes
,Lactobacillus camelliae,microaerophile,NI,Aerobes
,Lactobacillus delbrueckii subsp. indicus,microaerophile,NI,Aerobes
,Lactobacillus equi,microaerophile,NI,Aerobes
,Lactobacillus furfuricola,microaerophile,NI,Aerobes
,Lactobacillus gorillae,microaerophile,NI,Aerobes
,Lactobacillus harbinensis,microaerophile,NI,Aerobes
,Lactobacillus kisonensis,microaerophile,NI,Aerobes
,Lactobacillus koreensis,microaerophile,NI,Aerobes
,Lactobacillus mixtipabuli,microaerophile,NI,Aerobes
,Lactobacillus oligofermentans,microaerophile,NI,Aerobes
,Lactobacillus otakiensis,microaerophile,NI,Aerobes
,Lactobacillus ozensis,microaerophile,NI,Aerobes
,Lactobacillus plantarum subsp. argentoratensis,microaerophile,NI,Aerobes
,Lactobacillus rapi,microaerophile,NI,Aerobes
,Lactobacillus rodentium,microaerophile,NI,Aerobes
,Lactobacillus sakei subsp. carnosus,microaerophile,NI,Aerobes
,Lactobacillus silagei,microaerophile,NI,Aerobes
,Lactobacillus spicheri,microaerophile,NI,Aerobes
,Lactobacillus sunkii,microaerophile,NI,Aerobes
,Lactobacillus thailandensis,microaerophile,NI,Aerobes
,Lactobacillus uvarum,microaerophile,NI,Aerobes
,Lactococcus fujiensis,microaerophile,NI,Aerobes
,Lactococcus hircilactis,microaerophile,NI,Aerobes
,Lactococcus lactis subsp. tructae,microaerophile,NI,Aerobes
,Lactococcus laudensis,microaerophile,NI,Aerobes
,Legionella anisa,microaerophile,NI,Aerobes
,Legionella brunensis,microaerophile,NI,Aerobes
,Legionella busanensis,microaerophile,NI,Aerobes
,Legionella drozanskii,microaerophile,NI,Aerobes
,Legionella erythra,microaerophile,NI,Aerobes
,Legionella fallonii,microaerophile,NI,Aerobes
,Legionella feeleii,microaerophile,NI,Aerobes
,Legionella gratiana,microaerophile,NI,Aerobes
,Legionella jordanis,microaerophile,NI,Aerobes
,Legionella lansingensis,microaerophile,NI,Aerobes
,Legionella longbeachae,microaerophile,NI,Aerobes
,Legionella nautarum,microaerophile,NI,Aerobes
,Legionella parisiensis,microaerophile,NI,Aerobes
,Legionella pneumophila subsp. fraseri,microaerophile,NI,Aerobes
,Legionella pneumophila subsp. pascullei,microaerophile,NI,Aerobes
,Legionella pneumophila subsp. pneumophila,microaerophile,NI,Aerobes
,Legionella quinlivanii,microaerophile,NI,Aerobes
,Legionella sainthelensi,microaerophile,NI,Aerobes
,Legionella santicrucis,microaerophile,NI,Aerobes
,Legionella shakespearei,microaerophile,NI,Aerobes
,Legionella spiritensis,microaerophile,NI,Aerobes
,Legionella steigerwaltii,microaerophile,NI,Aerobes
,Legionella taurinensis,microaerophile,NI,Aerobes
,Legionella tucsonensis,microaerophile,NI,Aerobes
,Legionella wadsworthii,microaerophile,NI,Aerobes
,Legionella waltersii,microaerophile,NI,Aerobes
,Legionella worsleiensis,microaerophile,NI,Aerobes
,Legionella yabuuchiae,microaerophile,NI,Aerobes
,Leuconostoc gelidum subsp. aenigmaticum,microaerophile,NI,Aerobes
,Leuconostoc rapi,microaerophile,NI,Aerobes
,Luteococcus peritonei,microaerophile,NI,Aerobes
,Magnetospirillum gryphiswaldense,microaerophile,NI,Aerobes
,Magnetospirillum magnetotacticum,microaerophile,NI,Aerobes
,Mannheimia caviae,microaerophile,NI,Aerobes
,Mariprofundus ferrooxydans,microaerophile,NI,Aerobes
,Mesocricetibacter intestinalis,microaerophile,NI,Aerobes
,Moraxella boevrei,microaerophile,NI,Aerobes
,Moraxella caviae,microaerophile,NI,Aerobes
,Muribacter muris,microaerophile,NI,Aerobes
,Neisseria bacilliformis,microaerophile,NI,Aerobes
,Neisseria gonorrhoeae,microaerophile,NI,Aerobes
,Neisseria lactamica,microaerophile,NI,Aerobes
,Neisseria polysaccharea,microaerophile,NI,Aerobes
,Neisseria sicca,microaerophile,NI,Aerobes
,Nicoletella semolina,microaerophile,NI,Aerobes
,Oceanithermus profundus,microaerophile,NI,Aerobes
,Paenibacillus larvae,microaerophile,NI,Aerobes
,Paludibaculum fermentans,microaerophile,NI,Aerobes
,Pasteurella skyensis,microaerophile,NI,Aerobes
,Pediococcus damnosus,microaerophile,NI,Aerobes
,Pediococcus ethanolidurans,microaerophile,NI,Aerobes
,Propionicimonas paludicola,microaerophile,NI,Aerobes
,Reyranella massiliensis,microaerophile,NI,Aerobes
,Riemerella columbina,microaerophile,NI,Aerobes
,Rothia amarae,microaerophile,NI,Aerobes
,Rothia nasimurium,microaerophile,NI,Aerobes
,Singulisphaera acidiphila,microaerophile,NI,Aerobes
,Sodalis glossinidius,microaerophile,NI,Aerobes
,Spirillum winogradskyi,microaerophile,NI,Aerobes
,Spiroplasma alleghenense,microaerophile,NI,Aerobes
,Spiroplasma cantharicola,microaerophile,NI,Aerobes
,Spiroplasma chinense,microaerophile,NI,Aerobes
,Spiroplasma chrysopicola,microaerophile,NI,Aerobes
,Spiroplasma citri,microaerophile,NI,Aerobes
,Spiroplasma clarkii,microaerophile,NI,Aerobes
,Spiroplasma corruscae,microaerophile,NI,Aerobes
,Spiroplasma culicicola,microaerophile,NI,Aerobes
,Spiroplasma diabroticae,microaerophile,NI,Aerobes
,Spiroplasma diminutum,microaerophile,NI,Aerobes
,Spiroplasma eriocheiris,microaerophile,NI,Aerobes
,Spiroplasma floricola,microaerophile,NI,Aerobes
,Spiroplasma gladiatoris,microaerophile,NI,Aerobes
,Spiroplasma helicoides,microaerophile,NI,Aerobes
,Spiroplasma insolitum,microaerophile,NI,Aerobes
,Spiroplasma kunkelii,microaerophile,NI,Aerobes
,Spiroplasma lineolae,microaerophile,NI,Aerobes
,Spiroplasma litorale,microaerophile,NI,Aerobes
,Spiroplasma melliferum,microaerophile,NI,Aerobes
,Spiroplasma mirum,microaerophile,NI,Aerobes
